TYPE,CATEGORY,NAME,LATITUDE,LONGITUDE,ADDRESS,CITY,STATE,ZIP,COUNTY,desc,STRATEGIC VALUE,ECONOMIC IMPACT,PHYSICAL IMPACT,SYSTEMIC IMPACT,PHYSICAL IMPACT RADIUS (mi),ZIPS AFFECTED,OCCUPIED HOUSING UNITS,POPULATION AFFECTED,RAW_IMPACT
Substation,Electricity Generation,Unknown300907,31.54021037,-97.40890026,No address available,Crawford,TX,76638,McLennan County,This electricity substation services the city of Crawford and Mclennan County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76638],[1043],3095,1
Substation,Electricity Generation,Unknown300908,31.19217352,-98.69021257,No address available,San Saba,TX,76877,San Saba County,This electricity substation services the city of San Saba and San Saba County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76877],[1600],4303,1
Substation,Electricity Generation,Unknown300911,29.46713381,-96.62001573,No address available,Garwood,TX,77442,Colorado County,This electricity substation services the city of Garwood and Colorado County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300912,32.26156187,-102.5907199,No address available,Andrews,TX,79714,Andrews County,This electricity substation services the city of Andrews and Andrews County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Ogallala,34.5195877,-102.0387102,No address available,Nazareth,TX,79027,Castro County,This electricity substation services the city of Nazareth and Castro County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300914,35.75166758,-100.8154108,No address available,Miami,TX,79059,Roberts County,This electricity substation services the city of Miami and Roberts County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300915,27.80990435,-97.496738,No address available,Corpus Christi,TX,78409,Nueces County,This electricity substation services the city of Corpus Christi and Nueces County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78409],[1008],2312,1
Substation,Electricity Generation,Unknown300918,33.6221188,-101.9067317,No address available,Lubbock,TX,79416,Lubbock County,This electricity substation services the city of Lubbock and Lubbock County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300920,31.44056614,-102.4591383,No address available,Crane,TX,79731,Crane County,This electricity substation services the city of Crane and Crane County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300922,34.11603865,-102.1370937,No address available,Olton,TX,79326,Lamb County,This electricity substation services the city of Olton and Lamb County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300923,29.10824246,-96.53614059,No address available,Ganado,TX,77962,Jackson County,This electricity substation services the city of Ganado and Jackson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300924,33.73906038,-101.4857375,No address available,Lorenzo,TX,79343,Crosby County,This electricity substation services the city of Lorenzo and Crosby County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,San Angelo Ben Ficklin,31.40235365,-100.4382875,No address available,San Angelo,TX,76904,Tom Green County,This electricity substation services the city of San Angelo and Tom Green County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300926,33.95354945,-98.6837051,No address available,Iowa Park,TX,76367,Wichita County,This electricity substation services the city of Iowa Park and Wichita County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76367],[3711],13471,1
Substation,Electricity Generation,Fish Creek 69,32.73157417,-96.98519857,No address available,Dallas,TX,75051,Dallas County,This electricity substation services the city of Dallas and Dallas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75051],[12651],39783,1
Substation,Electricity Generation,Pearsall Power Plant,28.92742202,-99.09240888,No address available,North Pearsall,TX,78061,Frio County,This electricity substation services the city of North Pearsall and Frio County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300933,32.85778018,-96.42917205,No address available,Heath,TX,75032,Rockwall County,This electricity substation services the city of Heath and Rockwall County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75032],[9306],35056,1
Substation,Electricity Generation,Busch,29.77625026,-95.2727327,No address available,Houston,TX,77029,Harris County,This electricity substation services the city of Houston and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77029, 77020]","[5636, 7899]",42475,1
Substation,Electricity Generation,North Cleburne,32.38867731,-97.38943366,No address available,Cleburne,TX,76031,Johnson County,This electricity substation services the city of Cleburne and Johnson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300936,29.63385006,-95.08441502,No address available,Taylor Lake Village,TX,77507,Harris County,This electricity substation services the city of Taylor Lake Village and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77507],[None],403,1
Substation,Electricity Generation,Unknown300937,32.0688578,-97.7478296,No address available,Walnut Springs,TX,76690,Bosque County,This electricity substation services the city of Walnut Springs and Bosque County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76690],[431],1200,1
Substation,Electricity Generation,Unknown300938,33.80715602,-98.6891546,No address available,Holliday,TX,76366,Archer County,This electricity substation services the city of Holliday and Archer County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76366],[928],2036,1
Substation,Electricity Generation,Unknown300939,33.2314528,-95.90667713,No address available,Commerce,TX,75428,Hunt County,This electricity substation services the city of Commerce and Hunt County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75428],[3768],11000,1
Substation,Electricity Generation,Miller Creek,30.26201363,-98.29839683,No address available,Henly,TX,78636,Blanco County,This electricity substation services the city of Henly and Blanco County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Laredo Street,29.41535494,-98.50164075,No address available,San Antonio,TX,78204,Bexar County,This electricity substation services the city of San Antonio and Bexar County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78205, 78262, 78204, 78207, 78215, 78206, 78212, 78241, 78284, 78285, 78225]","[937, None, 3874, 15851, 573, None, 11544, None, None, None, 4327]",108701,1
Substation,Electricity Generation,Unknown300942,31.90452395,-101.715427,No address available,Spraberry,TX,79739,Glasscock County,This electricity substation services the city of Spraberry and Glasscock County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300943,29.89742269,-93.94803899,No address available,Port Arthur,TX,77640,Jefferson County,This electricity substation services the city of Port Arthur and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77640],[6787],17579,1
Substation,Electricity Generation,Unknown300946,32.47895475,-96.03047954,No address available,Canton,TX,75103,Van Zandt County,This electricity substation services the city of Canton and Van Zandt County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Gillespie,30.30543651,-98.90405667,No address available,Fredericksburg,TX,78624,Gillespie County,This electricity substation services the city of Fredericksburg and Gillespie County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300948,33.98791708,-102.5366136,No address available,Amherst,TX,79312,Lamb County,This electricity substation services the city of Amherst and Lamb County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300949,31.65206997,-95.70654527,No address available,Tucker,TX,75801,Anderson County,This electricity substation services the city of Tucker and Anderson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Moore,29.07943061,-99.04847269,No address available,Moore,TX,78057,Frio County,This electricity substation services the city of Moore and Frio County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300952,32.96756294,-101.8350647,No address available,O'Donnell,TX,79351,Lynn County,This electricity substation services the city of O'Donnell and Lynn County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79351],[495],1268,1
Substation,Electricity Generation,Unknown300954,33.56999123,-97.79091557,No address available,Bowie,TX,76230,Montague County,This electricity substation services the city of Bowie and Montague County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300955,29.0010946,-96.14088686,No address available,Markham,TX,77456,Matagorda County,This electricity substation services the city of Markham and Matagorda County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300957,32.33412681,-100.9161072,No address available,Colorado City,TX,79512,Mitchell County,This electricity substation services the city of Colorado City and Mitchell County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300958,30.0212839,-95.84609182,No address available,Hockley,TX,77447,Harris County,This electricity substation services the city of Hockley and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300959,31.82598166,-102.3349923,No address available,Odessa,TX,79766,Ector County,This electricity substation services the city of Odessa and Ector County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79761],[11175],31566,1
Substation,Electricity Generation,Sonterra,30.8023253,-97.60764769,No address available,Jarrell,TX,76537,Williamson County,This electricity substation services the city of Jarrell and Williamson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76537],[1314],10273,1
Substation,Electricity Generation,Unknown300963,33.58877616,-99.26374744,No address available,Seymour,TX,76380,Baylor County,This electricity substation services the city of Seymour and Baylor County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76380],[1709],3517,1
Substation,Electricity Generation,Fayette Plant #2,29.91356298,-96.75617926,No address available,Rutersville,TX,78945,Fayette County,This electricity substation services the city of Rutersville and Fayette County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300965,27.81106116,-97.59603645,No address available,Violet,TX,78380,Nueces County,This electricity substation services the city of Violet and Nueces County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78410],[9236],27623,1
Substation,Electricity Generation,Caterpillar,29.57927242,-97.99719346,No address available,Seguin,TX,78155,Guadalupe County,This electricity substation services the city of Seguin and Guadalupe County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78155],[16133],51656,1
Substation,Electricity Generation,Unknown300969,32.00653403,-94.80886107,No address available,Laneville,TX,75667,Rusk County,This electricity substation services the city of Laneville and Rusk County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300972,31.67111461,-97.30423763,No address available,China Spring,TX,76633,McLennan County,This electricity substation services the city of China Spring and Mclennan County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76633],[1757],6286,1
Substation,Electricity Generation,Stryker Creek,31.93777613,-94.9932564,No address available,Reklaw,TX,75766,Cherokee County,This electricity substation services the city of Reklaw and Cherokee County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300976,32.80553674,-97.22325184,No address available,Richland Hills,TX,76118,Tarrant County,This electricity substation services the city of Richland Hills and Tarrant County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76118],[5071],16674,1
Substation,Electricity Generation,Unknown300978,30.42682323,-95.45322065,No address available,Willis,TX,77378,Montgomery County,This electricity substation services the city of Willis and Montgomery County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77378],[4748],17549,1
Substation,Electricity Generation,Unknown300979,31.1555414,-99.33621621,No address available,Brady,TX,76825,McCulloch County,This electricity substation services the city of Brady and Mcculloch County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300980,33.16058385,-96.3614818,No address available,Farmersville,TX,75442,Collin County,This electricity substation services the city of Farmersville and Collin County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75442],[3137],10453,1
Substation,Electricity Generation,Unknown300981,31.08005355,-96.22220914,No address available,Normangee,TX,77871,Leon County,This electricity substation services the city of Normangee and Leon County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Encino Park,29.61563689,-98.46965388,No address available,San Antonio,TX,78258,Bexar County,This electricity substation services the city of San Antonio and Bexar County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78232, 78258]","[15390, 14449]",83897,1
Substation,Electricity Generation,Unknown300985,31.78342937,-95.4759936,No address available,Neches,TX,75801,Anderson County,This electricity substation services the city of Neches and Anderson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Jarrell East,30.79620482,-97.61065525,No address available,Jarrell,TX,76537,Williamson County,This electricity substation services the city of Jarrell and Williamson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76537],[1314],10273,1
Substation,Electricity Generation,Unknown300988,32.21124046,-94.73869919,No address available,Henderson,TX,75652,Rusk County,This electricity substation services the city of Henderson and Rusk County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75652],[4811],14011,1
Substation,Electricity Generation,Cameron,29.91866834,-95.64999249,No address available,Satsuma,TX,77095,Harris County,This electricity substation services the city of Satsuma and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77095],[22922],71138,1
Substation,Electricity Generation,Irving,32.81591882,-96.97451915,No address available,Irving,TX,75061,Dallas County,This electricity substation services the city of Irving and Dallas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[75061, 75060]","[17976, 14307]",106432,1
Substation,Electricity Generation,Unknown300995,30.13839675,-96.32550988,No address available,Chappell Hill,TX,77833,Washington County,This electricity substation services the city of Chappell Hill and Washington County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300996,33.05614879,-97.91029407,No address available,Joplin,TX,76426,Wise County,This electricity substation services the city of Joplin and Wise County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown300997,29.71018922,-95.23323663,No address available,Houston,TX,77017,Harris County,This electricity substation services the city of Houston and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77017, 77506, 77547, 77012]","[9573, 10390, 2709, 6035]",98402,1
Substation,Electricity Generation,South Channel,29.72135176,-95.16435776,No address available,Pasadena,TX,77503,Harris County,This electricity substation services the city of Pasadena and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77503, 77506]","[8018, 10390]",61723,1
Substation,Electricity Generation,Pecos,31.42897,-103.4983927,No address available,Pecos,TX,79772,Reeves County,This electricity substation services the city of Pecos and Reeves County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79772],[3429],13843,1
Substation,Electricity Generation,Eagle Mountain,32.90826743,-97.47706421,No address available,Eagle Mountain,TX,76179,Tarrant County,This electricity substation services the city of Eagle Mountain and Tarrant County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301003,29.75383977,-95.306577,No address available,Houston,TX,77011,Harris County,This electricity substation services the city of Houston and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77011, 77020, 77023]","[5940, 7899, 9129]",70988,1
Substation,Electricity Generation,Unknown301004,29.84824456,-94.91037564,No address available,Mont Belvieu,TX,77521,Harris County,This electricity substation services the city of Mont Belvieu and Chambers County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Dresden Drive,29.49867215,-98.50827147,No address available,San Antonio,TX,78213,Bexar County,This electricity substation services the city of San Antonio and Bexar County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78213, 78201]","[16126, 16498]",88534,1
Substation,Electricity Generation,Unknown301007,33.53480219,-101.8381815,No address available,Lubbock,TX,79404,Lubbock County,This electricity substation services the city of Lubbock and Lubbock County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79412, 79405]","[5537, None]",15719,1
Substation,Electricity Generation,Irving Belt Line,32.84447227,-96.99110575,No address available,Irving,TX,75062,Dallas County,This electricity substation services the city of Irving and Dallas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[75061, 75038, 75062]","[17976, 12453, 16201]",140933,1
Substation,Electricity Generation,Unknown301009,31.10502686,-102.2965694,No address available,Mc Camey,TX,79752,Upton County,This electricity substation services the city of Mc Camey and Upton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Strawberry Belt,29.69913453,-95.17171623,No address available,Pasadena,TX,77506,Harris County,This electricity substation services the city of Pasadena and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77503, 77506, 77502]","[8018, 10390, 11291]",99388,1
Substation,Electricity Generation,Tuco,33.8690973,-101.8434125,No address available,Abernathy,TX,79311,Hale County,This electricity substation services the city of Abernathy and Hale County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301013,32.03056822,-95.48972085,No address available,Frankston,TX,75763,Anderson County,This electricity substation services the city of Frankston and Anderson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75763],[2370],6507,1
Substation,Electricity Generation,Unknown301014,30.21751447,-93.74388228,No address available,Little Cypress,TX,77632,Orange County,This electricity substation services the city of Little Cypress and Orange County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301015,30.58841524,-96.34808386,No address available,College Station,TX,77840,Brazos County,This electricity substation services the city of College Station and Brazos County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77840],[21049],50047,1
Substation,Electricity Generation,Unknown301017,28.95568084,-95.31674267,No address available,Freeport,TX,77541,Brazoria County,This electricity substation services the city of Freeport and Brazoria County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301019,33.08482805,-96.88381,No address available,The Colony,TX,75056,Denton County,This electricity substation services the city of The Colony and Denton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75056],[16999],64243,1
Substation,Electricity Generation,Unknown301021,26.02202404,-97.59774022,No address available,San Benito,TX,78586,Cameron County,This electricity substation services the city of San Benito and Cameron County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301022,33.68947401,-97.52602357,No address available,St. Jo,TX,76265,Montague County,This electricity substation services the city of St. Jo and Montague County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76265],[774],1529,1
Substation,Electricity Generation,Unknown301024,31.11855508,-100.6307613,No address available,Christoval,TX,76935,Tom Green County,This electricity substation services the city of Christoval and Tom Green County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301026,27.82089954,-97.41837433,No address available,Corpus Christi,TX,78402,Nueces County,This electricity substation services the city of Corpus Christi and Nueces County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78407, 78402, 78401, 78470, 78471, 78474, 78476, 78477]","[1041, 276, 1940, None, None, None, None, None]",6926,1
Substation,Electricity Generation,Port,29.75313681,-95.18462612,No address available,Houston,TX,77015,Harris County,This electricity substation services the city of Houston and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77015],[16440],58276,1
Substation,Electricity Generation,Atascocita,30.00489629,-95.0970252,No address available,Huffman,TX,77336,Harris County,This electricity substation services the city of Huffman and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Grapevine Ball Street,32.92613346,-97.08495583,No address available,Grapevine,TX,76051,Tarrant County,This electricity substation services the city of Grapevine and Tarrant County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76051],[18496],50066,1
Substation,Electricity Generation,Unknown301030,29.04346215,-96.48802836,No address available,Ganado,TX,77962,Jackson County,This electricity substation services the city of Ganado and Jackson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77962],[1193],3262,1
Substation,Electricity Generation,Unknown301031,31.99648424,-102.1248454,No address available,Midland,TX,79703,Midland County,This electricity substation services the city of Midland and Midland County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79703, 79705, 79712]","[7347, 12946, None]",62391,1
Substation,Electricity Generation,Unknown301034,32.54690503,-99.77086547,No address available,Abilene,TX,79601,Taylor County,This electricity substation services the city of Abilene and Jones County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301035,33.89726576,-98.48562443,No address available,Wichita Falls,TX,76301,Wichita County,This electricity substation services the city of Wichita Falls and Wichita County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76301],[6789],15062,1
Substation,Electricity Generation,Unknown301038,30.43778021,-95.52250139,No address available,Willis,TX,77318,Montgomery County,This electricity substation services the city of Willis and Montgomery County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77318],[5640],18348,1
Substation,Electricity Generation,Unknown301039,33.14457018,-94.98282973,No address available,Mount Pleasant,TX,75455,Titus County,This electricity substation services the city of Mount Pleasant and Titus County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75455],[9323],26687,1
Substation,Electricity Generation,Hereford South,34.81502768,-102.3944879,No address available,Hereford,TX,79045,Deaf Smith County,This electricity substation services the city of Hereford and Deaf Smith County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79045],[6369],18634,1
Substation,Electricity Generation,Unknown301043,33.56709298,-101.8785842,No address available,Lubbock,TX,79410,Lubbock County,This electricity substation services the city of Lubbock and Lubbock County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79402, 79409, 79411, 79410, 79413, 79406, 79412, 79405, 79401]","[None, None, 3023, 4035, 8632, None, 5537, None, 3394]",72563,1
Substation,Electricity Generation,Unknown301044,32.39734628,-97.4081007,No address available,Cleburne,TX,76033,Johnson County,This electricity substation services the city of Cleburne and Johnson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Scenic Woods,29.88372272,-95.28526463,No address available,Houston,TX,77016,Harris County,This electricity substation services the city of Houston and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77050, 77016]","[1344, 9279]",35997,1
Substation,Electricity Generation,Unknown301046,30.53221792,-95.4624377,No address available,New Waverly,TX,77358,Walker County,This electricity substation services the city of New Waverly and Walker County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77358],[1871],5324,1
Substation,Electricity Generation,Unknown301047,29.03222643,-95.37116047,No address available,Clute,TX,77531,Brazoria County,This electricity substation services the city of Clute and Brazoria County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77531],[5563],15956,1
Substation,Electricity Generation,Unknown301048,32.71934097,-101.9384265,No address available,Los Ybanez,TX,79331,Dawson County,This electricity substation services the city of Los Ybanez and Dawson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79331],[4177],11726,1
Substation,Electricity Generation,Panther Creek,33.20318656,-96.87700445,No address available,Frisco,TX,75033,,This electricity substation services the city of Frisco and Denton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301052,31.57474539,-96.96447266,No address available,Hallsburg,TX,76705,McLennan County,This electricity substation services the city of Hallsburg and Mclennan County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Fairmont,29.64941974,-95.10276891,No address available,Deer Park,TX,77507,Harris County,This electricity substation services the city of Deer Park and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301054,32.77644073,-100.9451671,No address available,Snyder,TX,79549,Scurry County,This electricity substation services the city of Snyder and Scurry County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown301055,30.74572401,-96.95447662,No address available,Minerva,TX,76567,Milam County,This electricity substation services the city of Minerva and Milam County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
